Diameter ,X,Y,Color,,
48.5085144042969,477,73,blue,7.34637301709533,1.12550107924761
106.169975280762,142,71,green,2.18697058370553,1.09466543324083
23.3517150878906,463,359,red,7.13075619898352,5.5349984582177
105.696548461914,125,341,blue,1.92515016171261,5.25747764415665
118.983810424805,139,85,green,2.14076697982443,1.31051495528831
96.099609375,455,373,red,7.00754658863391,5.75084798026519
112.076118469238,125,342,blue,1.92515016171261,5.27289546716004
117.113990783691,139,83,green,2.14076697982443,1.27967930928153
94.5133743286133,455,373,red,7.00754658863391,5.75084798026519
114.571006774902,125,343,blue,1.92515016171261,5.28831329016343
116.815055847168,140,83,green,2.15616818111813,1.27967930928153
95.1175842285156,455,374,red,7.00754658863391,5.76626580326858
115.682067871094,125,344,blue,1.92515016171261,5.30373111316682
115.865531921387,139,83,green,2.14076697982443,1.27967930928153
95.1287384033203,456,373,red,7.02294778992761,5.75084798026519
115.95108795166,125,345,blue,1.92515016171261,5.31914893617021
117.713272094727,139,81,green,2.14076697982443,1.24884366327475
94.6815948486328,465,372,red,7.16155860157092,5.7354301572618
116.109252929688,125,345,blue,1.92515016171261,5.31914893617021
117.130516052246,139,82,green,2.14076697982443,1.26426148627814
94.2942352294922,466,371,red,7.17695980286462,5.7200123342584
115.791000366211,125,345,blue,1.92515016171261,5.31914893617021
116.855667114258,139,81,green,2.14076697982443,1.24884366327475
95.0785446166992,466,370,red,7.17695980286462,5.70459451125501
115.563041687012,125,345,blue,1.92515016171261,5.31914893617021
116.725570678711,139,82,green,2.14076697982443,1.26426148627814
95.251335144043,463,370,red,7.13075619898352,5.70459451125501
115.71215057373,125,345,blue,1.92515016171261,5.31914893617021
117.130516052246,139,81,green,2.14076697982443,1.24884366327475
95.0785446166992,464,369,red,7.14615740027722,5.68917668825162
115.926193237305,125,345,blue,1.92515016171261,5.31914893617021
116.7255859375,139,81,green,2.14076697982443,1.24884366327475
94.8774795532227,465,370,red,7.16155860157092,5.70459451125501
90.9321365356445,160,60,red,,
91.1128005981445,160,60,red,,
90.6048812866211,161,59,red,,
79.6903228759766,166,57,red,,
93.6620635986328,159,59,red,,
92.9628524780273,160,60,red,,
90.9321365356445,161,58,red,,
83.2326736450195,164,57,red,,
73.3111190795898,471,325,blue,,
105.676826477051,472,346,blue,,
89.8995895385742,153,326,red,,
108.2255859375,472,346,blue,,
89.7046585083008,154,322,red,,
109.216667175293,472,347,blue,,
67.408805847168,159,316,red,,
108.720558166504,472,347,blue,,
59.3122634887695,166,314,red,,
85.5458221435547,104,55,green,,
121.670860290527,104,76,green,,
122.511405944824,105,75,green,,
122.511405944824,105,75,green,,
122.138305664063,105,75,green,,
13.8189001083374,465,354,red,,
109.998023986816,476,374,red,,
